"name","age","position","marketvalue","otherclub","transferfee","season","club","transfertype"
"James Tavernier","21","Right-Back","£53k","MK Dons","End of loan",2011,"Newcastle United","Arrivals"
"Steve Harper","36","Keeper","£1.05m","Brighton","End of loan",2011,"Newcastle United","Arrivals"
"Phil Airey","21","Centre Forward","£35k","Gateshead","End of loan",2011,"Newcastle United","Arrivals"
"Nile Ranger","21","Centre Forward","£1.05m","Sheff Wed","End of loan",2011,"Newcastle United","Arrivals"
"James Tavernier","20","Right-Back","-","Carlisle United","End of loan",2011,"Newcastle United","Arrivals"
"José Enrique","25","Left-Back","£5.25m","Liverpool","£5.60m",2011,"Newcastle United","Departures"
"Kevin Nolan","29","Attacking Midfield","£5.60m","West Ham","£2.38m",2011,"Newcastle United","Departures"
"Wayne Routledge","26","Left Wing","£2.10m","Swansea","£2.28m",2011,"Newcastle United","Departures"
"Kazenga LuaLua","20","Left Wing","£350k","Brighton","£893k",2011,"Newcastle United","Departures"
"Fraser Forster","23","Keeper","£1.40m","Celtic","Loan fee:£81k",2011,"Newcastle United","Departures"
"Phil Airey","21","Centre Forward","£35k","Gateshead","Loan",2011,"Newcastle United","Departures"
"Shefki Kuqi","34","Centre Forward","£350k","Oldham Athletic","Free transfer",2011,"Newcastle United","Departures"
"Ole Söderberg","21","Keeper","£175k","Molde FK","Free transfer",2011,"Newcastle United","Departures"
"Matthew Grieve","20","Centre Back","-","Ashington AFC","Free transfer",2011,"Newcastle United","Departures"
"Nile Ranger","20","Centre Forward","£1.05m","Barnsley FC","Loan",2011,"Newcastle United","Departures"
"Patrick McLaughlin","20","Central Midfield","-","York City","Free transfer",2011,"Newcastle United","Departures"
"Steve Harper","36","Keeper","£1.05m","Brighton","Loan",2011,"Newcastle United","Departures"
"Haris Vuckic","19","Attacking Midfield","£175k","Cardiff","Loan",2011,"Newcastle United","Departures"
"Ben Tozer","21","Right-Back","£350k","Northampt. Town","Free transfer",2011,"Newcastle United","Departures"
"Ole Söderberg","21","Keeper","£175k","Darlington","Loan",2011,"Newcastle United","Departures"
"Alan Smith","31","Central Midfield","£1.40m","MK Dons","Loan",2011,"Newcastle United","Departures"
"Michael Richardson","19","Defensive Midfield","-","Leyton Orient","Loan",2011,"Newcastle United","Departures"
"Jak Alnwick","18","Keeper","-","Gateshead","Loan",2011,"Newcastle United","Departures"
"James Tavernier","20","Right-Back","-","Sheff Wed","Loan",2011,"Newcastle United","Departures"
"Nile Ranger","20","Centre Forward","£1.05m","Sheff Wed","Loan",2011,"Newcastle United","Departures"
"Joey Barton","28","Central Midfield","£4.55m","QPR","Free transfer",2011,"Newcastle United","Departures"
"Ole Söderberg","21","Keeper","£175k","Chesterfield FC","Loan",2011,"Newcastle United","Departures"
"Samuel Adjei","20","Left Midfield","-","Hartlepool Utd.","Loan",2011,"Newcastle United","Departures"
"James Tavernier","20","Right-Back","-","Carlisle United","Loan",2011,"Newcastle United","Departures"
"Daniel Leadbitter","20","Right-Back","-","Torquay","Free transfer",2011,"Newcastle United","Departures"
"Jeff Henderson","19","Centre Back","-","Gateshead","Loan",2011,"Newcastle United","Departures"
"James Tavernier","21","Right-Back","-","MK Dons","Loan",2011,"Newcastle United","Departures"
"Ryan Donaldson","20","Attacking Midfield","-","Tranmere Rovers","Loan",2011,"Newcastle United","Departures"
"Paul Dummett","20","Left-Back","-","Gateshead","Loan",2011,"Newcastle United","Departures"
"Phil Airey","20","Centre Forward","-","Hibernian FC","Loan",2011,"Newcastle United","Departures"
"Sol Campbell","36","Centre Back","£700k","Unattached","-",2011,"Newcastle United","Departures"
"Jóan Símun Edmundsson","19","Centre Forward","-","Newcastle U21","-",2011,"Newcastle United","Departures"
"Bryan Ruiz","26","Left Wing","£8.75m","FC Twente","£8.40m",2011,"Fulham FC","Arrivals"
"John Arne Riise","30","Left-Back","£5.95m","AS Roma","£1.82m",2011,"Fulham FC","Arrivals"
"Pajtim Kasami","19","Central Midfield","£1.47m","US Palermo","£1.12m",2011,"Fulham FC","Arrivals"
"Marcel Gecov","23","Central Midfield","£490k","Slovan Liberec","£560k",2011,"Fulham FC","Arrivals"
"Ryan Williams","18","Attacking Midfield","£53k","Portsmouth FC","£420k",2011,"Fulham FC","Arrivals"
"Pavel Pogrebnyak","28","Centre Forward","£2.45m","VfB Stuttgart","£350k",2011,"Fulham FC","Arrivals"
"Jack Grimmer","17","Right-Back","£105k","Aberdeen FC","£175k",2011,"Fulham FC","Arrivals"
"Zdenek Grygera","31","Right-Back","£1.40m","Juventus","Free transfer",2011,"Fulham FC","Arrivals"
"Csaba Somogyi","26","Keeper","£70k","Rákospalota","Free transfer",2011,"Fulham FC","Arrivals"
"Orlando Sá","23","Centre Forward","£700k","FC Porto","Free transfer",2011,"Fulham FC","Arrivals"
"Dan Burn","19","Centre Back","£18k","Darlington","?",2011,"Fulham FC","Arrivals"
"Matthew Briggs","20","Left-Back","£1.40m","Peterborough","End of loan",2011,"Fulham FC","Arrivals"
"Mahamadou Diarra","30","Defensive Midfield","£700k","Unattached","-",2011,"Fulham FC","Arrivals"
"David Stockdale","26","Keeper","£1.75m","Ipswich","End of loan",2011,"Fulham FC","Arrivals"
"Carlos Salcido","31","Defensive Midfield","£1.75m","Tigres","End of loan",2011,"Fulham FC","Arrivals"
"Keanu Marsh-Brown","19","Right Wing","-","Dundee United","End of loan",2011,"Fulham FC","Arrivals"
"Marcello Trotta","19","Centre Forward","£175k","Watford","End of loan",2011,"Fulham FC","Arrivals"
"Alex Brister","17","Right-Back","-","Fulham FC U18","-",2011,"Fulham FC","Arrivals"
"Alexander Kacaniklic","20","Left Wing","£175k","Watford","End of loan",2011,"Fulham FC","Arrivals"
"Alexander Kacaniklic","20","Left Wing","-","Fulham FC U21","-",2011,"Fulham FC","Arrivals"
"Marcello Trotta","19","Centre Forward","£175k","Fulham FC U21","-",2011,"Fulham FC","Arrivals"
"Björn Helge Riise","28","Right Midfield","£700k","Portsmouth FC","End of loan",2011,"Fulham FC","Arrivals"
"Kerim Frei","17","Left Wing","-","Fulham FC U18","-",2011,"Fulham FC","Arrivals"
"Bobby Zamora","30","Centre Forward","£5.60m","QPR","£4.06m",2011,"Fulham FC","Departures"
"Jonathan Greening","32","Central Midfield","£1.75m","Nottm Forest","£490k",2011,"Fulham FC","Departures"
"Kagisho Dikgacoi","26","Defensive Midfield","£700k","Crystal Palace","£469k",2011,"Fulham FC","Departures"
"Carlos Salcido","31","Defensive Midfield","£1.75m","Tigres","£350k",2011,"Fulham FC","Departures"
"Alexander Kacaniklic","20","Left Wing","£175k","Watford","Loan",2011,"Fulham FC","Departures"
"Richard Peniket","18","Centre Forward","-","Hereford Utd.","Loan",2011,"Fulham FC","Departures"
"Diomansy Kamara","30","Right Wing","£1.40m","Eskisehirspor","Free transfer",2011,"Fulham FC","Departures"
"Zoltán Gera","32","Attacking Midfield","£2.80m","West Brom","Free transfer",2011,"Fulham FC","Departures"
"David Stockdale","25","Keeper","£1.05m","Ipswich","Loan",2011,"Fulham FC","Departures"
"Marcello Trotta","19","Centre Forward","£175k","Watford","Loan",2011,"Fulham FC","Departures"
"Björn Helge Riise","28","Right Midfield","£700k","Portsmouth FC","Loan",2011,"Fulham FC","Departures"
"Matthew Briggs","20","Left-Back","£700k","Peterborough","Loan",2011,"Fulham FC","Departures"
"John Paintsil","30","Right-Back","£2.80m","Leicester City","Free transfer",2011,"Fulham FC","Departures"
"Carlos Salcido","31","Defensive Midfield","£3.15m","Tigres","Loan",2011,"Fulham FC","Departures"
"Keanu Marsh-Brown","18","Right Wing","-","Dundee United","Loan",2011,"Fulham FC","Departures"
"Keanu Marsh-Brown","19","Right Wing","£35k","Unattached","-",2011,"Fulham FC","Departures"
"Matthew Saunders","21","Central Midfield","-","Unattached","-",2011,"Fulham FC","Departures"
"Eddie Johnson","27","Centre Forward","£700k","Unattached","-",2011,"Fulham FC","Departures"
"Eidur Gudjohnsen","32","Centre Forward","£1.40m","Stoke City","End of loan",2011,"Fulham FC","Departures"
"Shane Long","-1988","Centre Forward","-","Reading","£3.57m",2011,"West Bromwich Albion","Arrivals"
"Liam Ridgewell","27","Left-Back","£3.15m","Birmingham","£1.68m",2011,"West Bromwich Albion","Arrivals"
"Ben Foster","-1984","Keeper","-","Birmingham","Loan fee:£770k",2011,"West Bromwich Albion","Arrivals"
"Scott Allan","20","Right Wing","£35k","Dundee United","£336k",2011,"West Bromwich Albion","Arrivals"
"Márton Fülöp †","28","Keeper","£1.58m","Ipswich","Free transfer",2011,"West Bromwich Albion","Arrivals"
"Gareth McAuley","-1980","Centre Back","-","Ipswich","Free transfer",2011,"West Bromwich Albion","Arrivals"
"Keith Andrews","-1981","Central Midfield","-","Blackburn","Free transfer",2011,"West Bromwich Albion","Arrivals"
"Billy Jones","-1988","Right-Back","-","Preston NE","Free transfer",2011,"West Bromwich Albion","Arrivals"
"Zoltán Gera","-1980","Attacking Midfield","-","Fulham FC","Free transfer",2011,"West Bromwich Albion","Arrivals"
"Chris Wood","20","Centre Forward","£525k","Birmingham","End of loan",2011,"West Bromwich Albion","Arrivals"
"Joe Mattock","-1991","Left-Back","-","Brighton","End of loan",2011,"West Bromwich Albion","Arrivals"
"Cameron Gayle","-1993","Right-Back","-","Víkingur","End of loan",2011,"West Bromwich Albion","Arrivals"
"Lateef Elford-Alliyu","-1993","Striker","-","Tranmere Rovers","End of loan",2011,"West Bromwich Albion","Arrivals"
"Saido Berahino","17","Centre Forward","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"Chris Wood","20","Centre Forward","£525k","Bristol City","End of loan",2011,"West Bromwich Albion","Arrivals"
"George Thorne","18","Defensive Midfield","-","Portsmouth FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Boaz Myhill","-1983","Keeper","-","Birmingham","End of loan",2011,"West Bromwich Albion","Arrivals"
"Wes Atkinson","16","Right-Back","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"Sam Mantom","-1993","Central Midfield","-","Walsall FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Marc-Antoine Fortuné","30","Centre Forward","£2.10m","Doncaster Rov.","End of loan",2011,"West Bromwich Albion","Arrivals"
"Scott Allan","-1992","Right Wing","-","Portsmouth FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Liam O'Neil","-1994","Defensive Midfield","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"Saido Berahino","18","Centre Forward","-","Northampt. Town","End of loan",2011,"West Bromwich Albion","Arrivals"
"Gonzalo Jara","26","Right-Back","£2.10m","Brighton","End of loan",2011,"West Bromwich Albion","Arrivals"
"James Hurst","19","Right-Back","£35k","Blackpool","End of loan",2011,"West Bromwich Albion","Arrivals"
"Romaine Sawyers","20","Attacking Midfield","£35k","Shrewsbury Town","End of loan",2011,"West Bromwich Albion","Arrivals"
"Mani O'Sullivan","-1994","Central Midfield","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"James Hurst","20","Right-Back","£35k","Chesterfield FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Paul Downing","20","Centre Back","-","Barnet","End of loan",2011,"West Bromwich Albion","Arrivals"
"James Hurst","19","Right-Back","£35k","Shrewsbury Town","End of loan",2011,"West Bromwich Albion","Arrivals"
"Joe Mattock","-1991","Left-Back","-","Portsmouth FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"George Thorne","19","Defensive Midfield","-","Portsmouth FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Alex Jones","16","Centre Forward","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"Luke Daniels","23","Keeper","£175k","Southend United","End of loan",2011,"West Bromwich Albion","Arrivals"
"Lateef Elford-Alliyu","-1993","Striker","-","Bury FC","End of loan",2011,"West Bromwich Albion","Arrivals"
"Gonzalo Jara","26","Right-Back","£2.10m","Brighton","End of loan",2011,"West Bromwich Albion","Arrivals"
"Saido Berahino","18","Centre Forward","-","Brentford","End of loan",2011,"West Bromwich Albion","Arrivals"
"Adil Nabi","-1995","Secondary Striker","-","West Brom U18","-",2011,"West Bromwich Albion","Arrivals"
"Roman Bednár","28","Centre Forward","£1.05m","Ankaragücü","End of loan",2011,"West Bromwich Albion","Arrivals"
"Borja Valero","26","Attacking Midfield","£8.40m","Villarreal CF","End of loan",2011,"West Bromwich Albion","Arrivals"
"Borja Valero","26","Attacking Midfield","£8.40m","Villarreal CF","£4.20m",2011,"West Bromwich Albion","Departures"
"Scott Carson","25","Keeper","£2.45m","Bursaspor","£1.54m",2011,"West Bromwich Albion","Departures"
"Ishmael Miller","24","Centre Forward","£1.40m","Nottm Forest","£945k",2011,"West Bromwich Albion","Departures"
"Marek Čech","28","Attacking Midfield","£1.40m","Trabzonspor","£700k",2011,"West Bromwich Albion","Departures"
"Pablo Ibáñez","-1982","Centre Back","-","Birmingham","£399k",2011,"West Bromwich Albion","Departures"
"Ryan Allsop","19","Keeper","-","Millwall","£70k",2011,"West Bromwich Albion","Departures"
"Chris Wood","20","Centre Forward","£525k","Bristol City","Loan",2011,"West Bromwich Albion","Departures"
"Giles Barnes","-1989","Centre Forward","-","Doncaster Rov.","Free transfer",2011,"West Bromwich Albion","Departures"
"Paul Downing","20","Centre Back","-","Barnet","Loan",2011,"West Bromwich Albion","Departures"
"Saido Berahino","18","Centre Forward","-","Brentford","Loan",2011,"West Bromwich Albion","Departures"
"Boaz Myhill","-1983","Keeper","-","Birmingham","Loan",2011,"West Bromwich Albion","Departures"
"Gonzalo Jara","26","Right-Back","£2.10m","Brighton","Loan",2011,"West Bromwich Albion","Departures"
"Joe Mattock","-1991","Left-Back","-","Brighton","Loan",2011,"West Bromwich Albion","Departures"
"Luke Connolly","-1993","Centre Back","-","Solihull","Free transfer",2011,"West Bromwich Albion","Departures"
"Roman Bednár","-1984","Centre Forward","-","Blackpool","Free transfer",2011,"West Bromwich Albion","Departures"
"Joe Mattock","-1991","Left-Back","-","Portsmouth FC","Loan",2011,"West Bromwich Albion","Departures"
"Lateef Elford-Alliyu","-1993","Striker","-","Bury FC","Loan",2011,"West Bromwich Albion","Departures"
"Lateef Elford-Alliyu","-1993","Striker","-","Tranmere Rovers","Loan",2011,"West Bromwich Albion","Departures"
"Abdoulaye Méïté","30","Centre Back","£1.40m","Dijon","Free transfer",2011,"West Bromwich Albion","Departures"
"James Hurst","19","Right-Back","£35k","Shrewsbury Town","Loan",2011,"West Bromwich Albion","Departures"
"George Thorne","19","Defensive Midfield","-","Portsmouth FC","Loan",2011,"West Bromwich Albion","Departures"
"Chris Wood","19","Centre Forward","£525k","Birmingham","Loan",2011,"West Bromwich Albion","Departures"
"Luke Daniels","23","Keeper","£175k","Southend United","Loan",2011,"West Bromwich Albion","Departures"
"Gonzalo Jara","26","Right-Back","£2.10m","Brighton","Loan",2011,"West Bromwich Albion","Departures"
"Liam O'Neil","18","Defensive Midfield","-","VPS","Loan",2011,"West Bromwich Albion","Departures"
"Saido Berahino","18","Centre Forward","-","Northampt. Town","Loan",2011,"West Bromwich Albion","Departures"
"James Hurst","19","Right-Back","£35k","Chesterfield FC","Loan",2011,"West Bromwich Albion","Departures"
"Marcus Haber","22","Centre Forward","£70k","St. Johnstone","Free transfer",2011,"West Bromwich Albion","Departures"
"Marc-Antoine Fortuné","-1982","Centre Forward","-","Doncaster Rov.","Loan",2011,"West Bromwich Albion","Departures"
"Sam Mantom","20","Central Midfield","-","Walsall FC","Loan",2011,"West Bromwich Albion","Departures"
"James Hurst","19","Right-Back","£35k","Blackpool","Loan",2011,"West Bromwich Albion","Departures"
"Romaine Sawyers","20","Attacking Midfield","£35k","Shrewsbury Town","Loan",2011,"West Bromwich Albion","Departures"
"Gianni Zuiverloon","-1987","Centre Back","-","RCD Mallorca","Free transfer",2011,"West Bromwich Albion","Departures"
"George Thorne","18","Defensive Midfield","-","Portsmouth FC","Loan",2011,"West Bromwich Albion","Departures"
"Scott Allan","20","Right Wing","£525k","Portsmouth FC","Loan",2011,"West Bromwich Albion","Departures"
"Ben Foster","-1984","Keeper","-","Birmingham","End of loan",2011,"West Bromwich Albion","Departures"
"Dean Kiely","-1971","Keeper","-","End of career","-",2011,"West Bromwich Albion","Departures"
"David de Gea","20","Keeper","£8.40m","Atlético Madrid","£14.00m",2011,"Manchester United","Arrivals"
"Phil Jones","19","Centre Back","£2.45m","Blackburn","£13.51m",2011,"Manchester United","Arrivals"
"Ashley Young","25","Left Wing","£12.60m","Aston Villa","£12.60m",2011,"Manchester United","Arrivals"
"Frédéric Veseli","19","Right-Back","-","Manchester City","?",2011,"Manchester United","Arrivals"
"Scott Wootton","20","Centre Back","£53k","Peterborough","End of loan",2011,"Manchester United","Arrivals"
"Robbie Brady","19","Left-Back","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Federico Macheda","20","Centre Forward","£2.10m","QPR","End of loan",2011,"Manchester United","Arrivals"
"Zeki Fryers","18","Left-Back","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Paul Pogba","18","Central Midfield","-","Man Utd U21","-",2011,"Manchester United","Arrivals"
"Larnell Cole","18","Right Wing","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Reece Brown","20","Centre Back","-","Oldham Athletic","End of loan",2011,"Manchester United","Arrivals"
"Oliver Norwood","20","Central Midfield","-","Scunthorpe Utd.","End of loan",2011,"Manchester United","Arrivals"
"Paul Scholes","37","Central Midfield","£3.15m","career break","-",2011,"Manchester United","Arrivals"
"Will Keane","18","Centre Forward","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Joshua King","20","Secondary Striker","-","Hull City","End of loan",2011,"Manchester United","Arrivals"
"Ritchie de Laet","23","Right-Back","£700k","Norwich","End of loan",2011,"Manchester United","Arrivals"
"Sam Johnstone","18","Keeper","-","Scunthorpe Utd.","End of loan",2011,"Manchester United","Arrivals"
"Sam Johnstone","18","Keeper","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Sean McGinty","18","Centre Back","-","Morecambe FC","End of loan",2011,"Manchester United","Arrivals"
"Ryan Tunnicliffe","19","Central Midfield","£53k","Peterborough","End of loan",2011,"Manchester United","Arrivals"
"Jesse Lingard","18","Left Wing","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Sean McGinty","17","Centre Back","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Oliver Norwood","21","Central Midfield","-","Coventry City","End of loan",2011,"Manchester United","Arrivals"
"Danny Drinkwater","21","Central Midfield","£525k","Barnsley FC","End of loan",2011,"Manchester United","Arrivals"
"Joshua King","19","Secondary Striker","£175k","Bor. M'gladbach","End of loan",2011,"Manchester United","Arrivals"
"Ryan Tunnicliffe","18","Central Midfield","-","Man Utd U18","-",2011,"Manchester United","Arrivals"
"Robbie Brady","20","Left-Back","£70k","Hull City","End of loan",2011,"Manchester United","Arrivals"
"Reece Brown","19","Centre Back","-","Doncaster Rov.","End of loan",2011,"Manchester United","Arrivals"
"Sam Johnstone","18","Keeper","-","Oldham Athletic","End of loan",2011,"Manchester United","Arrivals"
"Federico Macheda","19","Centre Forward","£1.96m","Sampdoria","End of loan",2011,"Manchester United","Arrivals"
"Ritchie de Laet","22","Right-Back","£875k","Portsmouth FC","End of loan",2011,"Manchester United","Arrivals"
"John O'Shea","30","Centre Back","£4.55m","Sunderland","£3.15m",2011,"Manchester United","Departures"
"Gabriel Obertan","22","Right Wing","£2.10m","Newcastle","£2.38m",2011,"Manchester United","Departures"
"Mame Diouf","24","Centre Forward","£2.80m","Hannover 96","£1.26m",2011,"Manchester United","Departures"
"Wes Brown","31","Centre Back","£4.20m","Sunderland","£1.05m",2011,"Manchester United","Departures"
"Bebé","20","Left Wing","£1.05m","Besiktas","Loan fee:£700k",2011,"Manchester United","Departures"
"Danny Drinkwater","21","Central Midfield","£525k","Leicester City","£630k",2011,"Manchester United","Departures"
"Ravel Morrison","18","Attacking Midfield","-","West Ham","£550k",2011,"Manchester United","Departures"
"Darron Gibson","24","Central Midfield","£2.45m","Everton","£420k",2011,"Manchester United","Departures"
"Corry Evans","20","Central Midfield","-","Hull City","£399k",2011,"Manchester United","Departures"
"Nicky Ajose","19","Centre Forward","-","Peterborough","£238k",2011,"Manchester United","Departures"
"Joshua King","19","Secondary Striker","£175k","Bor. M'gladbach","Loan fee:£70k",2011,"Manchester United","Departures"
"Joe Dudgeon","20","Left-Back","-","Hull City","£67k",2011,"Manchester United","Departures"
"Federico Macheda","20","Centre Forward","£1.96m","QPR","Loan",2011,"Manchester United","Departures"
"Sam Johnstone","18","Keeper","-","Scunthorpe Utd.","Loan",2011,"Manchester United","Departures"
"Scott Wootton","20","Centre Back","£53k","Nottm Forest","Loan",2011,"Manchester United","Departures"
"Ryan Tunnicliffe","18","Central Midfield","-","Peterborough","Loan",2011,"Manchester United","Departures"
"Danny Drinkwater","21","Central Midfield","£525k","Barnsley FC","Loan",2011,"Manchester United","Departures"
"Robbie Brady","19","Left-Back","-","Hull City","Loan",2011,"Manchester United","Departures"
"Joshua King","20","Secondary Striker","£175k","Hull City","Loan",2011,"Manchester United","Departures"
"Sean McGinty","18","Centre Back","-","Morecambe FC","Loan",2011,"Manchester United","Departures"
"Owen Hargreaves","30","Defensive Midfield","£1.40m","Manchester City","Free transfer",2011,"Manchester United","Departures"
"John Cofie","18","Centre Forward","-","Royal Antwerp","Loan",2011,"Manchester United","Departures"
"Ritchie de Laet","22","Right-Back","£875k","Norwich","Loan",2011,"Manchester United","Departures"
"Oliver Norwood","20","Central Midfield","-","Coventry City","Loan",2011,"Manchester United","Departures"
"Oliver Norwood","20","Central Midfield","-","Scunthorpe Utd.","Loan",2011,"Manchester United","Departures"
"Scott Wootton","19","Centre Back","-","Peterborough","Loan",2011,"Manchester United","Departures"
"Reece Brown","19","Centre Back","-","Doncaster Rov.","Loan",2011,"Manchester United","Departures"
"Reece Brown","20","Centre Back","-","Oldham Athletic","Loan",2011,"Manchester United","Departures"
"Tomasz Kuszczak","29","Keeper","£1.40m","Watford","Loan",2011,"Manchester United","Departures"
"Paul Scholes","36","Central Midfield","£3.15m","career break","-",2011,"Manchester United","Departures"
"Edwin van der Sar","40","Keeper","-","End of career","-",2011,"Manchester United","Departures"
"Conor Devlin","19","Keeper","-","Unattached","-",2011,"Manchester United","Departures"
"Sam Johnstone","18","Keeper","-","Oldham Athletic","Loan",2011,"Manchester United","Departures"
"Bobby Zamora","30","Centre Forward","£5.60m","Fulham FC","£4.06m",2011,"Queens Park Rangers","Arrivals"
"Djibril Cissé","30","Centre Forward","£4.20m","Lazio","£3.50m",2011,"Queens Park Rangers","Arrivals"
"Nedum Onuoha","25","Centre Back","£5.25m","Manchester City","£3.29m",2011,"Queens Park Rangers","Arrivals"
"Shaun Wright-Phillips","29","Right Wing","£5.60m","Manchester City","£3.15m",2011,"Queens Park Rangers","Arrivals"
"D. J. Campbell","29","Centre Forward","£1.75m","Blackpool","£1.40m",2011,"Queens Park Rangers","Arrivals"
"Armand Traoré","21","Left-Back","£1.05m","Arsenal FC","£945k",2011,"Queens Park Rangers","Arrivals"
"Anton Ferdinand","26","Centre Back","£3.15m","Sunderland","£788k",2011,"Queens Park Rangers","Arrivals"
"Luke Young","32","Right-Back","£2.10m","Aston Villa","£788k",2011,"Queens Park Rangers","Arrivals"
"Samba Diakité","23","Defensive Midfield","£2.98m","AS Nancy","Loan fee:£280k",2011,"Queens Park Rangers","Arrivals"
"Jason Puncheon","25","Right Wing","£315k","Southampton FC","Loan fee:£158k",2011,"Queens Park Rangers","Arrivals"
"Joey Barton","28","Central Midfield","£4.55m","Newcastle","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Danny Gabbidon","31","Centre Back","£1.05m","West Ham","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Taye Taiwo","26","Left-Back","£4.55m","AC Milan","Loan",2011,"Queens Park Rangers","Arrivals"
"Aaron Lennox","18","Keeper","-","A.I.S.","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Kieron Dyer","32","Attacking Midfield","£1.75m","West Ham","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Brian Murphy","28","Keeper","£350k","Ipswich","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Federico Macheda","20","Centre Forward","£1.96m","Manchester Utd.","Loan",2011,"Queens Park Rangers","Arrivals"
"Jay Bothroyd","29","Centre Forward","£1.75m","Cardiff","Free transfer",2011,"Queens Park Rangers","Arrivals"
"Bruno Perone","24","Centre Back","£140k","Tombense","Loan",2011,"Queens Park Rangers","Arrivals"
"Ángelo Balanta","21","Left Wing","£88k","MK Dons","End of loan",2011,"Queens Park Rangers","Arrivals"
"Matthew Connolly","24","Centre Back","£1.40m","Reading","End of loan",2011,"Queens Park Rangers","Arrivals"
"Clint Hill","33","Centre Back","£700k","Nottm Forest","End of loan",2011,"Queens Park Rangers","Arrivals"
"Hogan Ephraim","24","Left Wing","£700k","Bristol City","End of loan",2011,"Queens Park Rangers","Arrivals"
"Bradley Simmonds","17","Central Midfield","-","QPR U18","-",2011,"Queens Park Rangers","Arrivals"
"Gary Borrowdale","26","Left-Back","£350k","Barnet","End of loan",2011,"Queens Park Rangers","Arrivals"
"Rowan Vine","29","Centre Forward","£525k","Gillingham FC","End of loan",2011,"Queens Park Rangers","Arrivals"
"Tom Hitchcock","19","Secondary Striker","-","Unattached","-",2011,"Queens Park Rangers","Arrivals"
"Peter Ramage","28","Centre Back","£700k","Crystal Palace","End of loan",2011,"Queens Park Rangers","Arrivals"
"Lee Cook","29","Left Wing","£525k","Leyton Orient","End of loan",2011,"Queens Park Rangers","Arrivals"
"Max Ehmer","20","Centre Back","£70k","Preston NE","End of loan",2011,"Queens Park Rangers","Arrivals"
"Michael Doughty","19","Central Midfield","-","Crawley Town","End of loan",2011,"Queens Park Rangers","Arrivals"
"Patrick Agyemang","31","Centre Forward","£700k","Millwall","End of loan",2011,"Queens Park Rangers","Arrivals"
"Max Ehmer","19","Centre Back","£53k","Yeovil Town","End of loan",2011,"Queens Park Rangers","Arrivals"
"Peter Ramage","28","Centre Back","£525k","Birmingham","End of loan",2011,"Queens Park Rangers","Arrivals"
"Troy Hewitt","21","Centre Forward","-","Dag & Red FC","End of loan",2011,"Queens Park Rangers","Arrivals"
"Elvijs Putnins","20","Keeper","£35k","Boreham Wood","End of loan",2011,"Queens Park Rangers","Arrivals"
"Rowan Vine","29","Centre Forward","£525k","Exeter City","End of loan",2011,"Queens Park Rangers","Arrivals"
"Michael Doughty","19","Central Midfield","-","Aldershot","End of loan",2011,"Queens Park Rangers","Arrivals"
"Jordan Gibbons","17","Right Wing","-","QPR U18","-",2011,"Queens Park Rangers","Arrivals"
"Martin Rowlands","32","Central Midfield","£875k","Wycombe","End of loan",2011,"Queens Park Rangers","Arrivals"
"Lee Cook","29","Left Wing","£350k","Charlton","End of loan",2011,"Queens Park Rangers","Arrivals"
"Aaron Lennox","19","Keeper","-","Maidenhead Utd.","End of loan",2011,"Queens Park Rangers","Arrivals"
"Michael Harriman","18","Right-Back","-","QPR U18","-",2011,"Queens Park Rangers","Arrivals"
"Marcel Henry-Francis","18","Centre Forward","-","Hampton & Rich.","End of loan",2011,"Queens Park Rangers","Arrivals"
"Hogan Ephraim","23","Left Wing","£1.05m","Charlton","End of loan",2011,"Queens Park Rangers","Arrivals"
"Patrick Agyemang","31","Centre Forward","£525k","Stevenage FC","End of loan",2011,"Queens Park Rangers","Arrivals"
"Bruno Andrade","19","Attacking Midfield","-","Aldershot","End of loan",2011,"Queens Park Rangers","Arrivals"
"Matteo Alberti","22","Right Midfield","£175k","Lumezzane","End of loan",2011,"Queens Park Rangers","Arrivals"
"Bagasan Graham","18","Right Midfield","-","Boreham Wood","End of loan",2011,"Queens Park Rangers","Arrivals"
