"id","fullName","club","season","APPEARANCES","ASSISTS","AVERAGE_GOALS_PER_MATCH","AVERAGE_POINTS_PER_MATCH","CLEAN_SHEETS","DRAW_RATIO","FOULED","FOULS","LOSS_RATIO","OLDEST","RED_CARDS","SHORTEST","SUBSTITUTIONS_OFF","SUBSTITUTIONS_ON","TALLEST","TOP_SCORERS","WEIGHT","WIN_RATIO","YELLOW_CARDS","YOUNGEST"
"4739","Johan Elmander","Norwich","2013-2014",29,4,0.03,0.86,0,24.14,17,25,55.17,34,0,1.88,14,13,1.88,1,84,20.69,3,34
"47390","Neil Taylor","Swansea","2013-2014",10,1,0,1.4,1,20,4,5,40,26,0,1.75,1,4,1.75,0,65,40,1,26
"47412","Demba Ba","Chelsea","2013-2014",19,1,0.26,2.05,1,15.79,8,18,21.05,30,0,1.89,4,14,1.89,5,86,63.16,0,30
"47431","Willian","Chelsea","2013-2014",25,2,0.16,2.24,3,20,21,25,12,27,1,1.75,9,7,1.75,4,75,68,3,27
"48717","Winston Reid","West Ham","2013-2014",22,0,0.05,1.14,7,18.18,18,23,50,27,0,1.9,0,4,1.9,1,87,31.82,2,27
"49013","Victor Moses","West Ham","2013-2014",19,0,0.05,1.95,0,21.05,13,12,21.05,25,0,1.77,4,13,1.77,1,75,57.89,1,25
"49207","Rudy Gestede","Aston Villa","2013-2014",3,0,0,0.33,0,33.33,1,0,66.67,27,0,1.93,0,3,1.93,0,86,0,0,27
"49277","Leroy Fer","QPR","2013-2014",29,1,0.1,0.93,10,20.69,36,51,55.17,25,1,1.88,4,1,1.88,3,79,24.14,5,25
"49318","Lewis Holtby","Fulham","2013-2014",26,3,0.08,1.27,0,23.08,21,22,42.31,25,0,1.76,10,9,1.76,2,72,34.62,3,25
"49323","Steven N'Zonzi","Stoke","2013-2014",36,1,0.06,1.31,9,30.56,27,45,36.11,27,1,1.9,2,2,1.9,2,75,33.33,4,27
"49384","Jack Rodwell","Sunderland","2013-2014",5,0,0,2.2,1,40,0,2,0,24,0,1.88,0,4,1.88,0,80,60,0,24
"49413","James Tomkins","West Ham","2013-2014",31,0,0,1.13,11,16.13,25,25,51.61,26,1,1.91,3,0,1.91,0,74,32.26,5,26
"49414","Jack Collison","West Ham","2013-2014",10,0,0,0.6,0,30,1,8,60,27,0,1.83,5,4,1.83,0,75,10,0,27
"49438","Jordon Mutch","Crystal Palace","2013-2014",35,5,0.2,0.86,4,25.71,41,47,54.29,24,0,1.75,7,9,1.75,7,65,20,5,24
"49493","Chris Herd","Aston Villa","2013-2014",2,0,0,0,0,0,6,4,100,26,0,1.73,1,0,1.73,0,76,0,2,26
"49539","Kyle Naughton","Swansea","2013-2014",22,0,0,1.73,6,9.09,13,23,36.36,27,0,1.75,2,3,1.75,0,73,54.55,6,27
"49836","Liam Bridcutt","Sunderland","2013-2014",12,0,0,1.08,2,8.33,11,13,58.33,26,0,1.75,1,3,1.75,0,73,33.33,4,26
"49845","Aron Gunnarsson","Cardiff","2013-2014",23,2,0.04,0.91,2,26.09,23,23,52.17,26,0,1.77,7,6,1.77,1,70,21.74,1,26
"4990","Mahamadou Diarra","Fulham","2013-2014",4,0,0,1.75,0,25,3,5,25,34,0,1.82,2,0,1.82,0,80,50,1,34
"49944","Jake Livermore","Hull","2013-2014",36,4,0.08,1,9,16.67,32,42,55.56,26,0,1.8,2,2,1.8,3,76,27.78,6,26
"50004","Alexander Buttner","Man Utd","2013-2014",8,0,0,2.25,1,0,8,7,25,26,0,1.74,0,3,1.74,0,75,75,2,26
"50067","Brek Shea","Stoke","2013-2014",1,0,0,0,0,0,0,1,100,25,0,1.91,0,1,1.91,0,82,0,0,25
"50089","Geoff Cameron","Stoke","2013-2014",37,1,0.05,1.32,8,27.03,22,37,37.84,30,0,1.91,1,0,1.91,2,84,35.14,7,30
"50165","Ricky van Wolfswinkel","Norwich","2013-2014",25,1,0.04,0.84,1,24,16,38,56,26,0,1.85,11,9,1.85,1,70,20,1,26
"50175","Danny Welbeck","Arsenal","2013-2014",25,1,0.36,1.4,1,20,31,11,40,25,0,1.85,7,10,1.85,9,73,40,2,25
"50232","Jonjo Shelvey","Swansea","2013-2014",32,6,0.19,1.03,4,18.75,16,28,53.13,23,0,1.85,9,3,1.85,6,80,28.13,4,23
"50369","Pablo Armero","West Ham","2013-2014",5,0,0,0.6,0,0,3,5,80,29,0,1.74,0,2,1.74,0,73,20,1,29
"50442","Stevan Jovetic","Man City","2013-2014",13,1,0.23,2.08,0,23.08,12,4,15.38,26,0,1.83,3,11,1.83,3,79,61.54,1,26
"50472","James McCarthy","Everton","2013-2014",34,3,0.03,1.94,11,17.65,27,45,23.53,25,0,1.8,2,3,1.8,1,72,58.82,5,25
"51507","Laurent Koscielny","Arsenal","2013-2014",32,0,0.06,2.19,16,12.5,17,30,18.75,30,1,1.86,3,0,1.86,2,75,68.75,1,30
"51627","Yannick Sagbo","Hull","2013-2014",28,1,0.07,1.07,3,21.43,25,26,50,27,1,1.83,7,12,1.83,2,78,28.57,2,27
"51938","Marc Albrighton","Leicester","2013-2014",19,4,0,0.84,2,21.05,16,13,57.89,26,0,1.75,4,10,1.75,0,67,21.05,4,26
"51940","David de Gea","Man Utd","2013-2014",37,0,0,1.65,12,18.92,3,0,32.43,25,0,1.92,0,0,1.92,0,76,48.65,1,25
"51950","Libor Kozák","Aston Villa","2013-2014",14,0,0.29,1.21,1,35.71,14,19,35.71,26,0,1.92,5,6,1.92,4,84,28.57,1,26
"51955","Ondrej Celustka","Sunderland","2013-2014",21,0,0,1.05,4,19.05,7,12,52.38,26,0,1.86,3,7,1.86,0,82,28.57,1,26
"52477","Nathan Baker","Aston Villa","2013-2014",30,0,0,1.07,6,16.67,14,35,53.33,24,0,1.88,2,1,1.88,0,75,30,6,24
"52828","Valentin Roberge","Sunderland","2013-2014",9,1,0,0.56,1,22.22,7,8,66.67,28,0,1.89,1,2,1.89,0,73,11.11,1,28
"52856","Ignacio Scocco","Sunderland","2013-2014",6,0,0,0.33,0,33.33,1,4,66.67,30,0,1.76,0,6,1.76,0,71,0,0,30
"52876","Sandro","QPR","2013-2014",17,0,0.06,1.53,1,11.76,7,30,41.18,26,0,1.87,6,7,1.87,1,75,47.06,6,26
"5288","Gerhard Tremmel","Swansea","2013-2014",12,0,0,0.75,1,25,1,0,58.33,37,0,1.9,0,0,1.9,0,86,16.67,0,37
"53041","Luuk de Jong","Newcastle","2013-2014",12,1,0,0.75,0,0,14,4,75,25,0,1.88,7,4,1.88,0,86,25,0,25
"5306","Kevin Nolan","West Ham","2013-2014",33,5,0.21,1.09,7,18.18,18,46,51.52,33,2,1.83,16,0,1.83,7,85,30.3,7,33
"53138","Chico Flores","Swansea","2013-2014",31,0,0.06,1.03,8,25.81,22,39,48.39,28,2,1.87,0,1,1.87,2,77,25.81,5,28
"53371","David Meyler","Hull","2013-2014",30,1,0.07,1,4,20,45,32,53.33,26,0,1.88,12,3,1.88,2,79,26.67,8,26
"53392","Ramires","Chelsea","2013-2014",30,2,0.03,2.1,10,20,58,54,16.67,28,1,1.8,3,1,1.8,1,70,63.33,7,28
"53582","Stuart O'Keefe","Crystal Palace","2013-2014",12,0,0.08,2.08,0,8.33,2,10,25,24,0,1.73,0,10,1.73,1,64,66.67,2,24
"54102","Jack Wilshere","Arsenal","2013-2014",24,4,0.13,2.13,5,12.5,44,29,20.83,23,0,1.72,6,5,1.72,3,68,66.67,6,23
"54322","Michu","Swansea","2013-2014",17,2,0.12,1,4,29.41,21,13,47.06,29,0,1.91,5,2,1.91,2,76,23.53,2,29
"54756","Victor Wanyama","Southampton","2013-2014",23,0,0,1.7,8,26.09,31,47,26.09,24,0,1.88,5,4,1.88,0,76,47.83,7,24
"54771","Fabio","Cardiff","2013-2014",14,0,0,1,1,14.29,16,18,57.14,25,0,1.72,9,0,1.72,0,65,28.57,2,25
"54772","Rafael","Man Utd","2013-2014",19,1,0,1.74,4,15.79,24,19,31.58,25,0,1.73,9,1,1.73,0,80,52.63,5,25
"54861","Christian Benteke","Liverpool","2013-2014",26,2,0.38,1.12,5,19.23,43,47,50,25,0,1.9,4,2,1.9,10,83,30.77,4,25
"54908","Nacer Chadli","Spurs","2013-2014",24,3,0.04,2.04,2,16.67,12,20,20.83,26,0,1.89,9,9,1.89,1,80,62.5,1,26
"55422","Gylfi Sigurdsson","Swansea","2013-2014",25,0,0.2,1.64,1,20,17,9,32,26,0,1.86,9,11,1.86,5,79,48,2,26
"55452","Yannick Bolasie","Crystal Palace","2013-2014",29,4,0,1.24,3,20.69,26,29,44.83,26,1,1.88,14,6,1.88,0,84,34.48,1,26
"55494","Joel Ward","Crystal Palace","2013-2014",36,2,0,1.25,12,16.67,41,31,47.22,26,0,1.8,0,0,1.8,0,80,36.11,3,26
"55604","Davide Santon","Newcastle","2013-2014",27,0,0,1.37,7,14.81,16,20,44.44,24,0,1.87,6,1,1.87,0,77,40.74,1,24
"55641","Emanuele Giaccherini","Sunderland","2013-2014",24,4,0.17,1,2,25,24,11,50,30,0,1.67,9,8,1.67,4,60,25,4,30
"55829","Claudio Yacob","West Brom","2013-2014",27,0,0.04,1,3,44.44,24,39,37.04,28,0,1.81,8,5,1.81,1,77,18.52,7,28
"55909","Chris Smalling","Man Utd","2013-2014",25,0,0.04,1.8,8,24,15,19,24,26,0,1.94,2,4,1.94,1,90,52,2,26
"55913","Craig Noone","Cardiff","2013-2014",17,1,0.06,0.71,2,17.65,19,13,64.71,28,0,1.77,3,4,1.77,1,69,17.65,2,28
"5609","George McCartney","West Ham","2013-2014",22,0,0,1.32,6,9.09,23,10,50,34,0,1.8,1,2,1.8,0,69,40.91,4,34
"56206","Jordan Bowery","Aston Villa","2013-2014",9,1,0,1.11,0,11.11,2,6,55.56,24,0,1.85,2,7,1.85,0,76,33.33,0,24
"56345","Lacina Traoré","Everton","2013-2014",1,0,0,3,0,0,1,0,0,25,0,2.03,0,1,2.03,0,87,100,0,25
"56827","Costel Pantilimon","Sunderland","2013-2014",7,0,0,2.29,3,14.29,0,0,14.29,28,0,2.03,0,0,2.03,0,96,71.43,1,28
"56979","Jordan Henderson","Liverpool","2013-2014",35,7,0.11,2.29,10,14.29,19,35,14.29,25,1,1.82,1,0,1.82,4,67,71.43,4,25
"56981","Joe Bennett","Bournemouth","2013-2014",5,0,0,0.8,0,20,1,2,60,25,0,1.83,3,2,1.83,0,74,20,2,25
"57001","Wilfried Bony","Man City","2013-2014",34,4,0.47,1.03,2,23.53,47,36,50,27,0,1.82,8,7,1.82,16,84,26.47,4,27
"57255","Aleksandar Tonev","Aston Villa","2013-2014",17,0,0,0.59,1,23.53,5,11,64.71,25,0,1.76,5,11,1.76,0,70,11.76,0,25
"57328","Nathaniel Clyne","Liverpool","2013-2014",25,4,0,1.6,10,28,10,17,28,24,0,1.75,3,5,1.75,0,67,44,3,24
"5741","Grant Holt","Aston Villa","2013-2014",10,0,0.1,0.8,0,20,11,11,60,34,0,1.83,1,7,1.83,1,77,20,1,34
"58621","Kyle Walker","Spurs","2013-2014",26,2,0.04,1.81,9,19.23,31,26,26.92,25,0,1.78,1,0,1.78,1,70,53.85,5,25
"58771","Jack Colback","Newcastle","2013-2014",33,2,0.09,1.06,5,15.15,56,45,54.55,26,0,1.76,7,5,1.76,3,70,30.3,6,26
"58786","Martin Kelly","Crystal Palace","2013-2014",5,0,0,2.6,0,20,0,2,0,25,0,1.91,0,5,1.91,0,77,80,0,25
"58845","Ciaran Clark","Aston Villa","2013-2014",27,0,0,1.11,5,22.22,16,30,48.15,26,0,1.88,2,4,1.88,0,76,29.63,8,26
"59013","Barry Bannan","Crystal Palace","2013-2014",15,1,0.07,0.87,2,6.67,1,7,66.67,26,0,1.7,11,2,1.7,1,60,26.67,1,26
"59115","Mile Jedinak","Crystal Palace","2013-2014",38,1,0.03,1.18,12,15.79,44,60,50,31,0,1.89,1,0,1.89,1,81,34.21,7,31
"59125","Connor Wickham","Crystal Palace","2013-2014",15,1,0.33,0.93,1,13.33,22,16,60,22,0,1.91,4,5,1.91,5,90,26.67,1,22
"59936","Wojciech Szczesny","Arsenal","2013-2014",37,0,0,2.05,16,18.92,5,2,18.92,25,0,1.96,0,0,1.96,0,84,62.16,2,25
"59940","Kyle Bartley","Swansea","2013-2014",2,0,0,3,0,0,0,4,0,24,0,1.85,0,1,1.85,0,76,100,0,24
